car,model,price,year,mileage,location
Toyota Prius,Four,26905,2016,17038,Buffalo
Toyota Prius,Three,24979,2014,19818,Buffalo
Toyota Prius,Two,20477,2016,18362,Buffalo
Toyota Prius,Two,19974,2016,6412,Buffalo
Toyota Prius,Persona,19903,2015,15055,Buffalo
Toyota Prius,Four,19875,2014,12795,Buffalo
Toyota Prius,Four,19677,2015,33753,Buffalo
Toyota Prius,One,18999,2015,25965,Buffalo
Toyota Prius,Two,18975,2015,8163,Buffalo
Toyota Prius,One,18091,2015,22684,Buffalo
Toyota Prius,Three,17995,2015,34600,Buffalo
Toyota Prius,Three,17937,2014,17319,Buffalo
Toyota Prius,Three,17777,2014,45277,Buffalo
Toyota Prius,Three,17697,2014,36229,Buffalo
Toyota Prius,One,17261,2015,23261,Buffalo
Toyota Prius,Two,17000,2015,33978,Buffalo
Toyota Prius,Two,16999,2015,41164,Buffalo
Toyota Prius,Three,16998,2013,44343,Buffalo
Toyota Prius,Two,16975,2015,31266,Buffalo
Toyota Prius,Four,16945,2014,29852,Buffalo
Toyota Prius,Two,16909,2013,30151,Buffalo
Toyota Prius,Three,16864,2014,39850,Buffalo
Toyota Prius,Three,16795,2013,29166,Buffalo
Toyota Prius,four,27990,2016,31,Chicago
Toyota Prius,three,23990,2016,5930,Chicago
Toyota Prius,three,23990,2016,10801,Chicago
Toyota Prius,two,21000,2016,5837,Chicago
Toyota Prius,four,2500,2014,17152,Chicago
Toyota Prius,four,2500,2015,21027,Chicago
Toyota Prius,two,19995,2016,2103,Chicago
Toyota Prius,four,19262,2013,41371,Chicago
Toyota Prius,four,18995,2015,3952,Chicago
Toyota Prius,three,18700,2015,22868,Chicago
Toyota Prius,four,18590,2014,52945,Chicago
Toyota Prius,two,18928,2014,8397,Chicago
Toyota Prius,two,17991,2015,35927,Chicago
Toyota Prius,two,17688,2015,7102,Chicago
Toyota Prius,two,16995,2014,26158,Chicago
Toyota Prius,three,16991,2013,37516,Chicago
Toyota Prius,persona,16990,2013,31930,Chicago
Toyota Prius,two,16980,2015,37782,Chicago
Toyota Prius,three,16880,2015,37991,Chicago
Toyota Prius,four,16500,2013,37465,Chicago
